dataset,population,region,sexe,age,statut_residence,niveau_instruction,handicap,completude_pct
Adultes,18+,Yaadga,Homme,87,Hôte,Aucun,Non,99.2
Adultes,18+,Yaadga,Homme,62,Hôte,Primaire,Non,99.7
Adultes,18+,Koulsé,Femme,31,PDI,Post-primaire,Non,99.5
Adultes,18+,Koulsé,Femme,43,PDI,Alphabétisation,Non,99.5
Adultes,18+,Koulsé,Femme,39,PDI,Primaire,Non,99.5
Adultes,18+,Koulsé,Femme,26,PDI,Alphabétisation,Non,99.5
Adultes,18+,Koulsé,Femme,26,PDI,Primaire,Non,99.7
Adultes,18+,Koulsé,Femme,37,Hôte,Primaire,Non,99.7
Adultes,18+,Koulsé,Femme,26,Hôte,Post-primaire,Non,99.8
Adultes,18+,Koulsé,Femme,34,Hôte,Post-primaire,Non,99.5
Adultes,18+,Koulsé,Femme,31,Hôte,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,29,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,30,PDI,Primaire,Non,99.8
Adultes,18+,Koulsé,Femme,36,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,30,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,30,PDI,Post-primaire,Non,99.8
Adultes,18+,Koulsé,Femme,50,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,48,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,35,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,40,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,26,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,55,PDI,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,61,PDI,École Coranique,Non,99.8
Adultes,18+,Goulmou,Homme,35,Hôte,Aucun,Non,99.7
Adultes,18+,Goulmou,Homme,47,Hôte,Post-primaire,Oui,99.7
Adultes,18+,Goulmou,Homme,60,PDI,Aucun,Non,99.5
