secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Hôte,Aucun,9,88,10.2,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Hôte,Post-primaire,21,88,23.9,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Hôte,Primaire,13,88,14.8,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Hôte,Secondaire/Lycée,43,88,48.9,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Hôte,École coranique,2,88,2.3,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Aucun,23,65,35.4,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Post-primaire,11,65,16.9,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Primaire,19,65,29.2,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Secondaire/Lycée,5,65,7.7,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,École coranique,7,65,10.8,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Hôte,Alphabétisation,1,95,1.1,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Hôte,Aucun,19,95,20.0,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Hôte,Post-primaire,21,95,22.1,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Hôte,Primaire,30,95,31.6,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Garçons,Hôte,Secondaire/Lycée,24,95,25.3,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Alphabétisation,4,38,10.5,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Aucun,15,38,39.5,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Primaire,11,38,28.9,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Secondaire/Lycée,6,38,15.8,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,École coranique,2,38,5.3,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Hôte,Alphabétisation,6,73,8.2,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Hôte,Aucun,18,73,24.7,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Hôte,Post-primaire,2,73,2.7,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Hôte,Primaire,18,73,24.7,%
