secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Alphabétisation,8,49,16.3,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Aucun,20,49,40.8,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Post-primaire,2,49,4.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Primaire,17,49,34.7,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Secondaire/Lycée,1,49,2.0,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,Hôte,Universitaire,1,49,2.0,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Alphabétisation,9,33,27.3,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Aucun,18,33,54.5,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Post-primaire,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Primaire,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Femme,PDI,Secondaire/Lycée,2,33,6.1,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Alphabétisation,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Aucun,20,42,47.6,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Post-primaire,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Primaire,11,42,26.2,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Secondaire/Lycée,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,Hôte,Universitaire,8,42,19.0,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Alphabétisation,1,42,2.4,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Aucun,18,42,42.9,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Post-primaire,7,42,16.7,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Primaire,13,42,31.0,%
Education,Niveau d’instruction,Adultes,Bankui,Homme,PDI,Universitaire,3,42,7.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Alphabétisation,7,65,10.8,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Aucun,43,65,66.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Post-primaire,8,65,12.3,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Primaire,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Secondaire/Lycée,1,65,1.5,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Hôte,Universitaire,1,65,1.5,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Alphabétisation,3,54,5.6,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Aucun,46,54,85.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Post-primaire,2,54,3.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Primaire,2,54,3.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,PDI,Secondaire/Lycée,1,54,1.9,%
Education,Niveau d’instruction,Adultes,Goulmou,Femme,Retour volontaire,Primaire,1,1,100.0,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Aucun,27,44,61.4,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Post-primaire,4,44,9.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Primaire,8,44,18.2,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Secondaire/Lycée,4,44,9.1,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,Hôte,Universitaire,1,44,2.3,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,PDI,Aucun,26,34,76.5,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,PDI,Post-primaire,2,34,5.9,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,PDI,Primaire,5,34,14.7,%
Education,Niveau d’instruction,Adultes,Goulmou,Homme,PDI,Universitaire,1,34,2.9,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Alphabétisation,1,114,0.9,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Aucun,46,114,40.4,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Post-primaire,21,114,18.4,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Primaire,22,114,19.3,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Secondaire/Lycée,20,114,17.5,%
Education,Niveau d’instruction,Adultes,Kadiogo,Femme,Hôte,Universitaire,4,114,3.5,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Alphabétisation,4,123,3.3,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Aucun,34,123,27.6,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Post-primaire,7,123,5.7,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Primaire,33,123,26.8,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Secondaire/Lycée,25,123,20.3,%
Education,Niveau d’instruction,Adultes,Kadiogo,Homme,Hôte,Universitaire,20,123,16.3,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Alphabétisation,3,93,3.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Aucun,42,93,45.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Post-primaire,10,93,10.8,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Primaire,22,93,23.7,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Secondaire/Lycée,12,93,12.9,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,Universitaire,2,93,2.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,Hôte,École Coranique,2,93,2.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,Alphabétisation,7,65,10.8,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,Aucun,43,65,66.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,Post-primaire,3,65,4.6,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,Primaire,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,Secondaire/Lycée,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Koulsé,Femme,PDI,École Coranique,2,65,3.1,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Alphabétisation,5,94,5.3,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Aucun,49,94,52.1,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Post-primaire,1,94,1.1,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Primaire,23,94,24.5,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Secondaire/Lycée,7,94,7.4,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,Universitaire,3,94,3.2,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,Hôte,École Coranique,6,94,6.4,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,PDI,Alphabétisation,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,PDI,Aucun,38,65,58.5,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,PDI,Primaire,10,65,15.4,%
Education,Niveau d’instruction,Adultes,Koulsé,Homme,PDI,École Coranique,12,65,18.5,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Hôte,Alphabétisation,25,65,38.5,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Hôte,Aucun,31,65,47.7,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Hôte,Primaire,5,65,7.7,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Hôte,Secondaire/Lycée,4,65,6.2,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,PDI,Alphabétisation,12,68,17.6,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,PDI,Aucun,49,68,72.1,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,PDI,Primaire,6,68,8.8,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,PDI,École Coranique,1,68,1.5,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Retour volontaire,Alphabétisation,1,3,33.3,%
Education,Niveau d’instruction,Adultes,Liptako,Femme,Retour volontaire,Aucun,2,3,66.7,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Alphabétisation,13,81,16.0,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Aucun,31,81,38.3,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Post-primaire,2,81,2.5,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Primaire,18,81,22.2,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Secondaire/Lycée,9,81,11.1,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,Universitaire,7,81,8.6,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Hôte,École Coranique,1,81,1.2,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,Alphabétisation,4,56,7.1,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,Aucun,43,56,76.8,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,Post-primaire,2,56,3.6,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,Primaire,5,56,8.9,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,Secondaire/Lycée,1,56,1.8,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,PDI,École Coranique,1,56,1.8,%
Education,Niveau d’instruction,Adultes,Liptako,Homme,Retour volontaire,Aucun,1,1,100.0,%
Education,Niveau d’instruction,Adultes,Nakambé,Femme,Hôte,Alphabétisation,3,86,3.5,%
Education,Niveau d’instruction,Adultes,Nakambé,Femme,Hôte,Aucun,35,86,40.7,%
Education,Niveau d’instruction,Adultes,Nakambé,Femme,Hôte,Post-primaire,11,86,12.8,%
